artist,total score
Jackson Dean,6
ThxSoMch,9
Isabel LaRosa,15
Nate Smith,20
Lainey Wilson,27
Brenda Lee,29
Omar Apollo,34
Nicky Youre,42
Bailey Zimmerman,49
Armani White,52
d4vd,61
Jordan Davis,63
Riley Green,67
Noah Kahan,72
Kim Petras,75
HARDY,82
Stephen Sanchez,83
GloRilla,84
Yeat,96
Tems,98
Zach Bryan,101
Chencho Corleone,110
Quavo,113
Cole Swindell,115
Metro Boomin,124
Latto,134
Jax,141
Thomas Rhett,144
Rema,152
Jack Harlow,153
Morgan Wallen,159
blackbear,165
Jelly Roll,172
Glass Animals,173
Playboi Carti,174
Lil Skies,175
Lizzo,187
Joji,192
SZA,198
The 1975,201
Luke Combs,205
Kane Brown,214
Tate McRae,218
Pharrell Williams,225
Elton John,226
Trippie Redd,227
Robin Schulz,227
Oliver Tree,231
JVKE,238
Sabrina Carpenter,244
Mac Miller,246
Polo G,255
Tiësto,264
J. Cole,265
21 Savage,287
Kodak Black,287
Lil Baby,291
Lil Uzi Vert,294
Kanye West,299
Bebe Rexha,300
Olivia Rodrigo,308
Manuel Turizo,308
Khalid,316
Mariah Carey,318
Juice WRLD,330
Britney Spears,332
OneRepublic,336
Kendrick Lamar,337
Doja Cat,338
Harry Styles,356
Lana Del Rey,357
Future,361
YoungBoy Never Broke Again,361
Lil Pump,365
Meghan Trainor,367
Travis Scott,378
Sam Smith,378
Lil Nas X,381
Cardi B,385
Sia,403
The Chainsmokers,410
Chris Brown,416
Nicki Minaj,419
Post Malone,421
David Guetta,423
Beyoncé,434
Drake,435
Imagine Dragons,441
Selena Gomez,442
XXXTENTACION,448
The Weeknd,449
Bruno Mars,456
Billie Eilish,464
Rihanna,466
Bad Bunny,473
Taylor Swift,482
Ariana Grande,483
Ed Sheeran,491
Eminem,492
Justin Bieber,500
