rank,artist,avg views
25,Isabel LaRosa,97539.69
19,Brenda Lee,189768.01
6,Jackson Dean,331317.64
4,Nate Smith,372532.07
12,Lainey Wilson,430050.74
40,Omar Apollo,489760.18
32,ThxSoMch,960880.0
34,Bailey Zimmerman,1060662.1
5,Armani White,1084109.82
99,Kim Petras,1229565.56
20,Cole Swindell,1413084.1
42,Noah Kahan,1858267.69
43,Nicky Youre,2004318.48
33,Quavo,2061104.46
49,Latto,2626115.0
91,Zach Bryan,3484533.48
56,d4vd,3793138.76
10,Riley Green,4130064.12
53,Tate McRae,4607547.13
44,JVKE,5033680.43
21,Tems,5235948.52
28,GloRilla,5590650.23
7,Jelly Roll,5775046.77
8,Jax,5956046.39
9,Jordan Davis,6051752.49
97,Metro Boomin,6284334.09
37,The 1975,7431181.82
54,Tiësto,8132435.78
31,Rema,8351642.32
48,Stephen Sanchez,8917740.43
11,Thomas Rhett,9241887.24
2,Lil Skies,9371159.94
13,HARDY,11248621.93
45,Robin Schulz,11517915.93
46,Oliver Tree,11583348.73
84,Jack Harlow,11698998.56
35,Lizzo,12462015.68
85,Kodak Black,13536947.15
96,Yeat,13876200.05
1,blackbear,13924737.4
16,Elton John,14660766.91
39,Sabrina Carpenter,14818373.1
86,Trippie Redd,16038803.91
78,Mac Miller,16155939.47
36,Glass Animals,16918363.68
67,YoungBoy Never Broke Again,20902965.39
75,Lil Uzi Vert,23224952.72
51,David Guetta,24362959.91
70,21 Savage,30411376.84
50,Bebe Rexha,30690871.25
41,Joji,31856293.03
66,Morgan Wallen,33529272.5
63,Juice WRLD,33857343.87
87,Playboi Carti,37794497.06
18,Kane Brown,38250655.81
72,J. Cole,38452035.01
26,Chencho Corleone,44159247.8
88,Luke Combs,48305382.25
76,Polo G,51075667.75
29,Manuel Turizo,55357505.46
55,Meghan Trainor,58744124.93
23,Mariah Carey,63273417.58
30,Selena Gomez,63942680.71
90,Beyoncé,69847209.24
3,Lil Pump,70107012.86
98,Sam Smith,74371148.22
17,Sia,78239516.4
74,XXXTENTACION,78384165.69
52,OneRepublic,86203034.23
0,The Chainsmokers,87363796.67
64,Lil Baby,93441814.04
82,Ed Sheeran,111227853.41
15,Britney Spears,115480688.53
77,Justin Bieber,117770826.81
27,Cardi B,121423704.28
58,Taylor Swift,134385893.76
14,Lana Del Rey,151100094.62
81,Ariana Grande,156178628.97
93,SZA,157180582.9
57,Lil Nas X,160166724.22
62,The Weeknd,163268919.74
38,Imagine Dragons,175354699.97
73,Eminem,177738925.25
22,Future,179920061.55
47,Pharrell Williams,181951188.0
83,Bruno Mars,184710880.9
69,Post Malone,205802071.42
95,Khalid,212102015.19
60,Bad Bunny,217731359.88
71,Doja Cat,237158242.76
59,Drake,242506512.63
65,Kendrick Lamar,244328308.38
92,Nicki Minaj,249014643.0
79,Billie Eilish,252135561.6
89,Rihanna,257844946.53
94,Olivia Rodrigo,262305570.18
68,Harry Styles,351900775.57
61,Kanye West,539701818.45
80,Travis Scott,574337199.0
24,Chris Brown,624902076.17
